entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,exposure
2006-06-30,2006-07-31,long,SP500_VIX_sized,100.0,100.015,0.00015,monthly_rebalance,0.5
2006-07-31,2006-08-31,long,SP500_VIX_sized,100.0,101.435,0.01435,monthly_rebalance,0.5
2006-08-31,2006-09-30,long,SP500_VIX_sized,100.0,101.33,0.0133,monthly_rebalance,0.5
2006-09-30,2006-10-31,long,SP500_VIX_sized,100.0,102.02,0.0202,monthly_rebalance,0.5
2006-10-31,2006-11-30,long,SP500_VIX_sized,100.0,101.27,0.0127,monthly_rebalance,0.5
2006-11-30,2006-12-31,long,SP500_VIX_sized,100.0,100.825,0.00825,monthly_rebalance,0.5
2006-12-31,2007-01-31,long,SP500_VIX_sized,100.0,101.13,0.0113,monthly_rebalance,0.5
2007-01-31,2007-02-28,long,SP500_VIX_sized,100.0,99.4,-0.006,monthly_rebalance,0.5
2007-02-28,2007-03-31,long,SP500_VIX_sized,100.0,101.14,0.0114,monthly_rebalance,1.0
2007-03-31,2007-04-30,long,SP500_VIX_sized,100.0,102.185,0.02185,monthly_rebalance,0.5
2007-04-30,2007-05-31,long,SP500_VIX_sized,100.0,102.03,0.0203,monthly_rebalance,0.5
2007-05-31,2007-06-30,long,SP500_VIX_sized,100.0,99.42,-0.0058,monthly_rebalance,0.5
2007-06-30,2007-07-31,long,SP500_VIX_sized,100.0,96.68,-0.0332,monthly_rebalance,1.0
2007-07-31,2007-08-31,long,SP500_VIX_sized,100.0,101.36,0.0136,monthly_rebalance,1.0
2007-08-31,2007-09-30,long,SP500_VIX_sized,100.0,103.54,0.0354,monthly_rebalance,1.0
2007-09-30,2007-10-31,long,SP500_VIX_sized,100.0,102.11,0.0211,monthly_rebalance,1.0
2007-10-31,2007-11-30,long,SP500_VIX_sized,100.0,95.54,-0.0446,monthly_rebalance,1.0
2007-11-30,2007-12-31,long,SP500_VIX_sized,100.0,99.4,-0.006,monthly_rebalance,1.0
2007-12-31,2008-01-31,long,SP500_VIX_sized,100.0,93.89,-0.0611,monthly_rebalance,1.0
2008-01-31,2008-02-29,long,SP500_VIX_sized,100.0,95.495,-0.04505,monthly_rebalance,1.5
2008-02-29,2008-03-31,long,SP500_VIX_sized,100.0,98.76,-0.0124,monthly_rebalance,1.5
2008-03-31,2008-04-30,long,SP500_VIX_sized,100.0,107.095,0.07095,monthly_rebalance,1.5
2008-04-30,2008-05-31,long,SP500_VIX_sized,100.0,102.05,0.0205,monthly_rebalance,1.0
2008-05-31,2008-06-30,long,SP500_VIX_sized,100.0,91.74,-0.0826,monthly_rebalance,1.0
2008-06-30,2008-07-31,long,SP500_VIX_sized,100.0,99.4,-0.006,monthly_rebalance,1.0
2008-07-31,2008-08-31,long,SP500_VIX_sized,100.0,101.66,0.0166,monthly_rebalance,1.0
2008-08-31,2008-09-30,long,SP500_VIX_sized,100.0,90.8,-0.092,monthly_rebalance,1.0
2008-09-30,2008-10-31,long,SP500_VIX_sized,100.0,74.28,-0.2572,monthly_rebalance,1.5
