,predicted_vol,exposure_symmetric,exposure_asymmetric_cap,exposure_binary_defensive,exposure_three_state,exposure
2019-04-29,0.0878232404989287,1.5,1.0,0.85,1.0,0.85
2019-04-30,0.08494776965591493,1.5,1.0,0.85,1.0,0.85
2019-05-01,0.08107552173880062,1.5,1.0,0.85,1.0,0.85
2019-05-02,0.08778122560570734,1.5,1.0,0.85,1.0,0.85
2019-05-03,0.0842911485065032,1.5,1.0,0.85,1.0,0.85
2019-05-06,0.0962021238230839,1.5,1.0,0.85,0.85,0.85
2019-05-07,0.09217150667049757,1.5,1.0,0.85,0.85,0.85
2019-05-08,0.11816063660413469,1.2694582926337348,1.0,0.85,0.85,0.85
2019-05-09,0.1036796354099465,1.4467643467967843,1.0,0.85,0.85,0.85
2019-05-10,0.10587087811950763,1.4168202121708973,1.0,0.85,0.85,0.85
2019-05-13,0.10402557865389632,1.441953045981751,1.0,0.85,0.85,0.85
2019-05-14,0.1407699665925888,1.0655682005958302,1.0,0.4,0.4,0.4
2019-05-15,0.12802097812395627,1.1716829710109116,1.0,0.4,0.4,0.4
2019-05-16,0.12807140089556465,1.1712216697177924,1.0,0.4,0.4,0.4
2019-05-17,0.13308344202561379,1.1271124169686744,1.0,0.4,0.4,0.4
2019-05-20,0.13094437795451264,1.1455245528151417,1.0,0.4,0.4,0.4
2019-05-21,0.1199720713468152,1.2502909911956097,1.0,0.85,0.85,0.85
2019-05-22,0.12316909486711045,1.217837966267739,1.0,0.85,0.85,0.85
2019-05-23,0.11616835851777171,1.2912294011372523,1.0,0.85,0.85,0.85
2019-05-24,0.12599829508006105,1.1904922991591904,1.0,0.85,0.85,0.85
2019-05-28,0.11811883956261998,1.2699074978676743,1.0,0.85,0.85,0.85
2019-05-29,0.125376236923914,1.1963989642712693,1.0,0.85,0.85,0.85
2019-05-30,0.11825607395951132,1.2684337892982749,1.0,0.85,0.85,0.85
