entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
2021-08-26,2021-08-27,vixshort,100,100.97943700309968,rebalance,0.9794,1,1708.14,2.34,1708.14,174400.12,176108.26
2021-08-27,2021-09-09,vixshort,100,99.75879473341148,rebalance,0.2412,1,-424.78,2.85,-424.78,176108.26,175683.47
2021-09-09,2021-09-10,vixshort,100,99.27369838459235,rebalance,0.7263,1,-1275.99,2.29,-1275.99,175683.47,174407.48
2021-09-10,2021-09-13,vixshort,100,100.74645783188667,rebalance,0.7465,1,1301.88,2.39,1301.88,174407.48,175709.36
2021-09-13,2021-09-20,vixshort,100,97.21750810656012,rebalance,2.7825,1,-4889.1,1.9,-4889.1,175709.36,170820.26
2021-09-20,2021-09-21,vixshort,100,101.06732969007095,rebalance,1.0673,1,1823.22,7.38,1823.22,170820.26,172643.48
2021-09-21,2021-09-22,vixshort,100,101.404391775116,rebalance,1.4044,1,2424.59,1.84,2424.59,172643.48,175068.07
2021-09-22,2021-09-23,vixshort,100,101.30487812333715,rebalance,1.3049,1,2284.42,3.97,2284.42,175068.07,177352.49
2021-09-23,2021-09-28,vixshort,100,98.32591198593309,rebalance,1.6741,1,-2969.04,2.89,-2969.04,177352.49,174383.46
2021-09-28,2021-10-01,vixshort,100,100.5006068990353,rebalance,0.5006,1,872.98,5.23,872.98,174383.46,175256.43
2021-10-01,2021-10-04,vixshort,100,99.41749153155149,rebalance,0.5825,1,-1020.88,2.18,-1020.88,175256.43,174235.55
2021-10-04,2021-10-05,vixshort,100,100.8391360953648,rebalance,0.8391,1,1462.07,1.98,1462.07,174235.55,175697.62
2021-10-05,2021-10-07,vixshort,100,101.05908661799737,rebalance,1.0591,1,1860.79,2.02,1860.79,175697.62,177558.41
2021-10-07,2021-10-14,vixshort,100,101.95532619489929,rebalance,1.9553,1,3471.85,2.3,3471.85,177558.41,181030.26
2021-10-14,2021-10-21,vixshort,100,101.21728068553625,rebalance,1.2173,1,2203.65,3.82,2203.65,181030.26,183233.9
2021-10-21,2021-10-27,vixshort,100,99.47907558559072,rebalance,0.5209,1,-954.51,2.61,-954.51,183233.9,182279.39
2021-10-27,2021-11-03,vixshort,100,101.72007649715415,rebalance,1.7201,1,3135.35,2.2,3135.35,182279.39,185414.74
2021-11-03,2021-11-05,vixshort,100,99.21786694439172,rebalance,0.7821,1,-1450.19,3.05,-1450.19,185414.74,183964.55
2021-11-05,2021-11-10,vixshort,100,99.45925300221312,rebalance,0.5407,1,-994.78,1.88,-994.78,183964.55,182969.77
2021-11-10,2021-11-12,vixshort,100,101.04294119654837,rebalance,1.0429,1,1908.27,2.47,1908.27,182969.77,184878.03
2021-11-12,2021-11-19,vixshort,100,99.52071037063926,rebalance,0.4793,1,-886.1,3.03,-886.1,184878.03,183991.93
2021-11-19,2021-11-26,vixshort,100,95.63931636503811,rebalance,4.3607,1,-8023.31,1.86,-8023.31,183991.93,175968.63
2021-11-26,2021-11-29,vixshort,100,104.08625462116315,rebalance,4.0863,1,7190.53,12.71,7190.53,175968.63,183159.15
2021-11-29,2021-11-30,vixshort,100,96.30398836838656,rebalance,3.696,1,-6769.58,7.75,-6769.58,183159.15,176389.57
2021-11-30,2021-12-01,vixshort,100,98.00392939240079,rebalance,1.9961,1,-3520.86,6.34,-3520.86,176389.57,172868.71
2021-12-01,2021-12-02,cash,100,99.986025,rebalance,0.014,1,-24.16,22.23,-24.16,172868.71,172844.55
2021-12-02,2021-12-03,vixshort,100,97.60839367201775,rebalance,2.3916,1,-4133.76,24.16,-4133.76,172844.55,168710.79
2021-12-03,2021-12-06,vixshort,100,102.44614699063979,rebalance,2.4461,1,4126.91,3.78,4126.91,168710.79,172837.7
2021-12-06,2021-12-07,vixshort,100,102.9164788612876,rebalance,2.9165,1,5040.78,4.45,5040.78,172837.7,177878.48
2021-12-07,2021-12-10,vixshort,100,100.99919358345491,rebalance,0.9992,1,1777.35,16.28,1777.35,177878.48,179655.83
2021-12-10,2021-12-14,vixshort,100,99.49770948693404,rebalance,0.5023,1,-902.39,2.23,-902.39,179655.83,178753.43
2021-12-14,2021-12-15,vixshort,100,101.5340647694528,rebalance,1.5341,1,2742.19,11.62,2742.19,178753.43,181495.63
2021-12-15,2021-12-17,vixshort,100,98.50729786345146,rebalance,1.4927,1,-2709.19,3.43,-2709.19,181495.63,178786.44
2021-12-17,2021-12-22,vixshort,100,101.53838305740376,rebalance,1.5384,1,2750.42,3.13,2750.42,178786.44,181536.86
2021-12-22,2021-12-23,vixshort,100,100.18485824270284,rebalance,0.1849,1,335.59,3.75,335.59,181536.86,181872.44
2021-12-23,2021-12-30,vixshort,100,100.69781600471639,rebalance,0.6978,1,1269.14,8.92,1269.14,181872.44,183141.58
2021-12-30,2022-01-05,vixshort,100,99.3371762720569,rebalance,0.6628,1,-1213.91,7.07,-1213.91,183141.58,181927.67
2022-01-05,2022-01-11,vixshort,100,101.50691780754448,rebalance,1.5069,1,2741.5,2.68,2741.5,181927.67,184669.17
